Source,Target,Weight
 AIイラスト, stablediffusion,15
 crypto, ETH,15
 AIstories, AIArtwork,15
 crypto, nftgallery,15
 crypto, web3,15
 初音ミク, stablediffusion,15
 WritersOfTwitter, AIart,15
 digitalart, artgallery,15
 digitalart, nftgallery,15
WrittenWithAI, WritersOfTwitter,15
 AIrt, space,14
 AIrt, ETH,14
AI, AIrt,14
 AIrt, alien,14
 AIrt, crypto,14
AI, artcurator,14
 alien, space,14
 Dalle2, space,14
 AIrt, web3,14
 AIstories, OpenAI,14
 dalle2, OpenSeaNFT,14
 AIartist, space,14
 art, digitalartwork,14
 artist, nftcurator,14
 crypto, Blockchain,14
 artist, artcurator,14
 alien, web3,14
 digitalArt, OpenAI,14
 aiartist, stablediffusion,14
AI, alien,14
 alien, crypto,14
 AIartist, Blockchain,14
 AIrt, Dalle2,14
 AIartist, alien,14
 aiartcommunity, stablediffusion,14
 artcurator, nftcurator,14
 eyes, artcurator,14
AI, NFT,14
WrittenWithAI, OpenAI,14
 Dalle2, alien,14
 space, crypto,14
 alien, Blockchain,14
 Dalle2, artcurator,14
 eyes, nftcurator,14
 web3, artcurator,14
 AIartist, crypto,14
 space, ETH,14
 nft, artcurator,14
 Blockchain, web3,14
ai, openai,14
 art, artcurator,14
 Dalle, space,14
 AIrt, Dalle,14
 Dalle, Blockchain,14
 AIrt, Blockchain,14
 Dalle, alien,14
 WritersOfTwitter, OpenAI,14
 Dalle, crypto,14
 AIrt, AIartist,14
 AIArtwork, OpenAI,14
 web3, nftcurator,14
 space, web3,14
 ETH, web3,14
 ETH, Blockchain,14
 alien, ETH,14
 space, Blockchain,14
 aiartwork, midjourney,13
 Dalle2, Web3,13
 dalle2, digitalartwork,13
 Dalle, blockchain,13
 Dalle2, NFT,13
chatGPT, dalle2,13
 dalle2art, aiart,13
 Midjourney, Dalle2,13
 eyes, Dalle2,13
 eyes, Dalle,13
dalle2, textcurie001,13
 aiimage, dalle2,13
dalle, dalle2art,13
AIArtwork, AIart,13
AI, Web3,13
 eyes, blockchain,13
AI, DALLE2,13
 dalle, aiartcommunity,12
 chatgpt3, dalle2,12
 dalle, OpenSeaNFT,12
dalle2, OpenAI,12
dalle, stablediffusionart,12
 dalle2, NFT,12
 AiArtSociety, dalle2,12
 nftart, OpenSeaNFT,12
 digitalart, eyes,12
 artificialintelligence, midjourney,12
 AIart, artist,12
aiart, AIArtCommuity,12
 AI, ChatGPT,12
 imaginator, stablediffusionart,12
 Midjourney, iC7ZiArt,12
 aiartcommunity, sun,12
 swapiapi, textcurie001,11
 AIArtworks, darkart,11
 nftart, opensea,11
AIart, AIArtwork,11
 GPT3, dalle2,11
 aiartcommunity, darkart,11
 dalle, nft,11
 AIart, sun,11
dalle, stablediffusion,11
 dalle2, NFTs,11
 openai, art,11
 aiart, midjourneyart,11
 ai, art,11
 midjourneyart, generativeart,11
 artist, dalle2,11
chatgpt, dalle2,11
AIArtwork, aiartcommunity,11
 AIaritst, web3,10
 AIaritst, pink,10
 AIaritst, nft,10
 AIaritst, eyes,10
 stablediffusionart, stablediffusion,10
 Dalle, eyes,10
AI, AIaritst,10
 AIaritst, blockchain,10
 nft, nfts,10
 midjourney, art,10
 openai, generativeart,10
 pink, Dalle,10
 pink, Dalle2,10
AI, pink,10
 pink, blockchain,10
 pink, eyes,10
 AIaritst, Dalle2,10
 pink, nft,10
 AIaritst, Dalle,10
 AIart, AIaritst,10
AI, dalle,10
 pink, web3,10
 dalle, opensea,10
 imaginator, stablediffusion,10
 aiart, starwars,10
aiart, darkart,10
 dalle2, starwars,10
 AIart, pink,10
