,Source,Target,Weight
2952, NFTsales, EthereumNFTs,8
208, AI, pubg,8
5423, art, AIイラスト,8
297, AIArt, DigitalArt,8
13622,NFT, CHATGPT,8
5421, art, AIart,8
13266,AiLust, AIartists,8
15053,dalle2, aiartgallery,8
122, AI, OPENAI,8
11628, stablediffusionart, AIArtistCommunity,8
97, AI, CHATGPT,8
1172, AIイラスト, ART,8
15054,dalle2, aiartist,8
637, AIArtworks, oceanpunk,8
3900, ai, pubg,8
392, AIArtistCommunity, AIartists,8
2596, NFTART, NFTS,8
11048, pubg, RPG,8
16108,wolf, aiartdailytheme,8
243, AIART, AI,8
1960, DIGITALART, OPENAI,8
6779, dalle, pubg,8
11528, stablediffusion, aiartworks,8
2282, MANIFOLD, ART,8
11050, pubg, amongus,8
1224, ART, AI,8
13638,NFT, OPENAI,8
1226, ART, CHATGPT,8
1227, ART, NFTART,8
516, AIArtwork, generativeart,8
2597, NFTART, OPENAI,8
267, AIARTCOMMUNITY, NFTART,8
803, AIart, NFT,8
2283, MANIFOLD, CHATGPT,8
266, AIARTCOMMUNITY, MANIFOLD,8
2284, MANIFOLD, NFTART,8
16110,wolf, aicommunity,8
2281, MANIFOLD, AI,8
2736, NFTS, NFTART,8
263, AIARTCOMMUNITY, AI,8
2734, NFTS, CHATGPT,8
3072, OPENAI, NFTS,8
1178, AIイラスト, NFTART,8
1181, AIイラスト, OPENAI,8
2732, NFTS, AI,8
2733, NFTS, ART,8
276, AIARTWORK, NFTART,8
275, AIARTWORK, MANIFOLD,8
7632, eve, pubg,8
269, AIARTCOMMUNITY, OPENAI,8
274, AIARTWORK, CHATGPT,8
273, AIARTWORK, ART,8
9749, nasa, pubg,8
11052, pubg, art,8
3381, TheBeastsofAI, DystopiaRising,8
270, AIARTWORK, AI,8
2735, NFTS, MANIFOLD,8
264, AIARTCOMMUNITY, ART,8
265, AIARTCOMMUNITY, CHATGPT,8
11743, startrek, pubg,8
16112,wolf, artoftheday,8
254, AIART, NFTART,8
2286, MANIFOLD, OPENAI,8
11056, pubg, mmo,8
984, AIart, oceanpunk,8
3765, ai, aiartist,8
1161, AIイラスト, AI,8
247, AIART, ART,8
